	cluster	Rank_1	Rank_2	Rank_3	Description
M00913_2	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
M00913_3	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
M00120_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Coenzyme A biosynthesis, pantothenate => CoA
M00914_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA
M00572_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
M00123_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
M00950_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin
M00573_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00577_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00881_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H
M00882_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H
M00883_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2
M00884_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2
M00126_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrofolate biosynthesis, GTP => THF
M00840_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF
M00841_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF
M00842_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrobiopterin biosynthesis, GTP => BH4
M00843_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4
M00880_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
M00140_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	C1-unit interconversion, prokaryotes
M00141_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	C1-unit interconversion, eukaryotes
M00846_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Siroheme biosynthesis, glutamyl-tRNA => siroheme
M00868_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, animals and fungi, glycine => heme
M00121_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, plants and bacteria, glutamate => heme
M00926_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme
M00924_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide
M00925_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide
M00122_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin
M00122_2	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin
M00122_3	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin
M00117_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
M00128_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol
M00116_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol
M00930_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Menaquinone biosynthesis, futalosine pathway
M00931_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Menaquinone biosynthesis, modified futalosine pathway
M00932_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol
M00112_1	26	Pathway Modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
M00095_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, mevalonate pathway
M00849_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
M00096_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, non-mevalonate pathway
M00364_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, bacteria
M00365_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, archaea
M00366_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, plants
M00367_1	27	Pathway Modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes
M00097_1	28	Pathway Modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	beta-Carotene biosynthesis, GGAP => beta-carotene
M00372_1	28	Pathway Modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	Abscisic acid biosynthesis, beta-carotene => abscisic acid
M00824_1	30	Pathway Modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core
M00825_1	30	Pathway Modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core
M00834_1	30	Pathway Modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP
M00833_1	30	Pathway Modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Calicheamicin biosynthesis, calicheamicinone => calicheamicin
M00793_1	32	Pathway Modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-rhamnose biosynthesis
M00797_1	32	Pathway Modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-D-desosamine biosynthesis
M00798_1	32	Pathway Modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-mycarose biosynthesis
M00799_1	32	Pathway Modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-oleandrose biosynthesis
M00039_1	33	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol
M00137_1	33	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Flavanone biosynthesis, phenylalanine => naringenin
M00961_1	33	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Betacyanin biosynthesis, L-tyrosine => amaranthin
M00953_1	33	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid
M00673_1	34	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C
M00815_1	35	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A
M00903_1	35	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin
M00789_1	37	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Rebeccamycin biosynthesis, tryptophan => rebeccamycin
M00790_1	37	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin
M00835_1	37	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Pyocyanine biosynthesis, chorismate => pyocyanine
M00875_1	37	Pathway Modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B
M00538_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Toluene degradation, toluene => benzoate
M00537_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Xylene degradation, xylene => methylbenzoate
M00551_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol
M00568_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Catechol ortho-cleavage, catechol => 3-oxoadipate
M00569_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA
M00623_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Phthalate degradation, phthalate => protocatechuate
M00878_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA
M00545_1	38	Pathway Modules	Xenobiotics biodegradation	Aromatics degradation	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA
M00575_1	39	Signature Modules	Gene set	Pathogenicity	Pertussis pathogenicity signature, T1SS
M00564_1	39	Signature Modules	Gene set	Pathogenicity	Helicobacter pylori pathogenicity signature, cagA pathogenicity island
M00627_1	40	Signature Modules	Gene set	Drug resistance	beta-Lactam resistance, Bla system
M00745_1	40	Signature Modules	Gene set	Drug resistance	Imipenem resistance, repression of porin OprD
M00652_1	40	Signature Modules	Gene set	Drug resistance	Vancomycin resistance, D-Ala-D-Ser type
M00725_1	40	Signature Modules	Gene set	Drug resistance	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon
M00726_1	40	Signature Modules	Gene set	Drug resistance	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF
M00744_1	40	Signature Modules	Gene set	Drug resistance	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE
M00718_1	40	Signature Modules	Gene set	Drug resistance	Multidrug resistance, efflux pump MexAB-OprM
M00641_1	40	Signature Modules	Gene set	Drug resistance	Multidrug resistance, efflux pump MexEF-OprN
M00642_1	40	Signature Modules	Gene set	Drug resistance	Multidrug resistance, efflux pump MexJK-OprM
M00769_1	40	Signature Modules	Gene set	Drug resistance	Multidrug resistance, efflux pump MexPQ-OpmE
M00649_1	40	Signature Modules	Gene set	Drug resistance	Multidrug resistance, efflux pump AdeABC
M00698_1	40	Signature Modules	Gene set	Drug resistance	Multidrug resistance, efflux pump BpeEF-OprC
M00664_1	42	Signature Modules	Gene set	Symbiosis	Nodulation
M00615_1	43	Signature Modules	Module set	Metabolic capacity	Nitrate assimilation
M00616_1	43	Signature Modules	Module set	Metabolic capacity	Sulfate-sulfur assimilation
