run_accession	sample_accession	location	isolate	sample_alias	note
SRR14722053	SAMN19302658	35.5411 N 83.5764 W		FEN_308_S52_R1_001.fastq.gz	
SRR14722054	SAMN19302657	35.5411 N 83.5764 W		FEN_307_S51_R1_001.fastq.gz	
SRR14722055	SAMN19302656	35.4961 N 83.6183 W		FEN_306_S50_R1_001.fastq.gz	
SRR14722056	SAMN19302655	35.4961 N 83.6183 W		FEN_305_S49_R1_001.fastq.gz	
SRR14722057	SAMN19302654	35.54919 N 83.50379 W		FEN_304_S48_R1_001.fastq.gz	
SRR14722058	SAMN19302653	35.4961 N 83.6183 W		FEN_303_S47_R1_001.fastq.gz	
SRR14722059	SAMN19302652	"35.6, -83.06"		FEN_302_S46_R1_001.fastq.gz	picked based on the disctription. USA Haywood Great Smoky Mountains National Park southern face of Purchase Knob
SRR14722060	SAMN19302651	34.3828 N 85.6289 W		FEN_301_S45_R1_001.fastq.gz	
SRR14722061	SAMN19302650	35.54919 N 83.50379 W		FEN_300_S44_R1_001.fastq.gz	
SRR14722062	SAMN19302470	35.4675 N 83.5617 W		FEN_45_Fuscopannaria_leucosticta_Plate2_B1_R1.fastq.gz	
SRR14722063	SAMN19302452	35.4828 N 83.5597 W		FEN_4_Parmelia_squarrosa_Plate1_D1_R1.fastq.gz	
SRR14722064	SAMN19302649	35.65324 N 83.43169 W		FEN_299_S43_R1_001.fastq.gz	
SRR14722065	SAMN19302648	35.65324 N 83.43169 W		FEN_298_S42_R1_001.fastq.gz	
SRR14722066	SAMN19302647			FEN_297_S41_R1_001.fastq.gz	Locality details protected: typically done to protect locations of rare or threatened species
SRR14722067	SAMN19302646	34.3839 N 85.6306 W		FEN_296_S40_R1_001.fastq.gz	
SRR14722068	SAMN19302645	35.5128 N 83.7206 W		FEN_295_S39_R1_001.fastq.gz	
SRR14722069	SAMN19302644	34.3672 N 85.64 W		FEN_294_S38_R1_001.fastq.gz	
SRR14722070	SAMN19302643	35.545 N 83.5828 W		FEN_293_S37_R1_001.fastq.gz	
SRR14722071	SAMN19302642	35.6956 N 83.2486 W		FEN_292_S36_R1_001.fastq.gz	
SRR14722072	SAMN19302641	35.4894 N 83.5608 W		FEN_291_S35_R1_001.fastq.gz	
SRR14722073	SAMN19302640	35.76436 N 83.14492 W		FEN_290_S34_R1_001.fastq.gz	
SRR14722074	SAMN19302469	35.4675 N 83.5617 W		FEN_44_Arthothelium_spectabile_Plate3_D1_R1.fastq.gz	
SRR14722075	SAMN19302639	35.6431 N 83.8036 W		FEN_289_S33_R1_001.fastq.gz	
SRR14722076	SAMN19302638	35.577503 N 83.15427 W		FEN_288_S32_R1_001.fastq.gz	
SRR14722077	SAMN19302637	35.5394 N 83.4547 W		FEN_287_S31_R1_001.fastq.gz	
SRR14722078	SAMN19302636	35.483513 N 83.81476 W		FEN_286_S30_R1_001.fastq.gz	
SRR14722079	SAMN19302635	35.475204 N 83.81014 W	Tripp_6041_NY-2794319	FEN_285_S29_R1_001.fastq.gz	
SRR14722080	SAMN19302634	35.475204 N 83.81014 W		FEN_284_S28_R1_001.fastq.gz	
SRR14722081	SAMN19302633	35.475204 N 83.81014 W		FEN_283_S27_R1_001.fastq.gz	
SRR14722082	SAMN19302632	35.483513 N 83.81476 W		FEN_282_S26_R1_001.fastq.gz	
SRR14722083	SAMN19302631	35.483513 N 83.81476 W		FEN_281_S25_R1_001.fastq.gz	
SRR14722084	SAMN19302630	35.475204 N 83.81014 W		FEN_280_S24_R1_001.fastq.gz	
SRR14722085	SAMN19302468	35.4675 N 83.5617 W		FEN_43_Pseudosagedia_rhaphidospermum_Plate2_C1_R1.fastq.gz	
SRR14722086	SAMN19302629	35.483513 N 83.81476 W	Tripp_6058_COLO-L-0051364	FEN_279_S23_R1_001.fastq.gz	
SRR14722087	SAMN19302628	35.483513 N 83.81476 W		FEN_278_S22_R1_001.fastq.gz	
SRR14722088	SAMN19302627	35.483513 N 83.81476 W		FEN_277_S21_R1_001.fastq.gz	
SRR14722089	SAMN19302626	35.483513 N 83.81476 W		FEN_276_S20_R1_001.fastq.gz	
SRR14722090	SAMN19302625	35.483513 N 83.81476 W	Tripp_6053_NY-2858381	FEN_275_S19_R1_001.fastq.gz	
SRR14722091	SAMN19302624	35.475204 N 83.81014 W		FEN_274_S18_R1_001.fastq.gz	
SRR14722092	SAMN19302623	35.483513 N 83.81476 W		FEN_273_S17_R1_001.fastq.gz	
SRR14722093	SAMN19302622	35.475204 N 83.81014 W		FEN_272_S16_R1_001.fastq.gz	
SRR14722094	SAMN19302621	35.483513 N 83.81476 W		FEN_271_S15_R1_001.fastq.gz	
SRR14722095	SAMN19302620	35.483513 N 83.81476 W		FEN_270_S14_R1_001.fastq.gz	
SRR14722096	SAMN19302467	35.4675 N 83.5617 W		FEN_42_Graphis_scripta_Plate3_C1_R1.fastq.gz	
SRR14722097	SAMN19302619	35.475204 N 83.81014 W		FEN_269_S13_R1_001.fastq.gz	
SRR14722098	SAMN19302618	35.483513 N 83.81476 W		FEN_268_S12_R1_001.fastq.gz	
SRR14722099	SAMN19302617	35.483513 N 83.81476 W		FEN_267_S11_R1_001.fastq.gz	
SRR14722100	SAMN19302616	35.475204 N 83.81014 W	Tripp_6040_COLO-L-0051344	FEN_266_S10_R1_001.fastq.gz	
SRR14722101	SAMN19302615	35.483513 N 83.81476 W		FEN_265_S9_R1_001.fastq.gz	
SRR14722102	SAMN19302614	35.475204 N 83.81014 W		FEN_264_S8_R1_001.fastq.gz	
SRR14722103	SAMN19302613	35.483513 N 83.81476 W		FEN_263_S7_R1_001.fastq.gz	
SRR14722104	SAMN19302612	35.475204 N 83.81014 W		FEN_262_S6_R1_001.fastq.gz	
SRR14722105	SAMN19302611	35.483513 N 83.81476 W		FEN_261_S5_R1_001.fastq.gz	
SRR14722106	SAMN19302610	35.483513 N 83.81476 W		FEN_260_S4_R1_001.fastq.gz	
SRR14722107	SAMN19302466	35.4675 N 83.5617 W		FEN_41_Opegrapha_varia_Plate3_B1_R1.fastq.gz	
SRR14722108	SAMN19302609	35.475204 N 83.81014 W		FEN_259_S3_R1_001.fastq.gz	
SRR14722109	SAMN19302608	38.5569 N 78.395 W		FEN_258_S2_R1_001.fastq.gz	
SRR14722110	SAMN19302607	38.2281 N 78.7506 W		FEN_257_S1_R1_001.fastq.gz	
SRR14722111	SAMN19302606	35.0683 N 83.2386 W		FEN_256_Cystocoleus_ebeneus_Plate3_F7_R1.fastq.gz	
SRR14722112	SAMN19302605	35.1097 N 83.1978 W	Lendemer_47364_NY-2795562	FEN_255_Sticta_sp_Plate3_E7_R1.fastq.gz	
SRR14722113	SAMN19302604	35.7147 N 82.2694 W		FEN_254_Nephroma_resupinatum_Plate3_D7_R1.fastq.gz	
SRR14722114	SAMN19302603	35.1356 N 83.1911 W		FEN_253_Cladonia_stipitata_Plate3_C7_R1.fastq.gz	
SRR14722115	SAMN19302602	35.1356 N 83.1911 W		FEN_252_Usnea_halei_Plate3_B7_R1.fastq.gz	
SRR14722116	SAMN19302601	35.4372 N 83.7481 W		FEN_251_Usnea_subscabrosa_Plate3_A7_R1.fastq.gz	
SRR14722117	SAMN19302600	35.1356 N 83.1911 W		FEN_250_Cladonia_mateocyatha_Plate3_H6_R1.fastq.gz	
SRR14722118	SAMN19302465	35.5631 N 83.4983 W		FEN_40_Bryoria_tenuis_Plate1_C5_R1.fastq.gz	
SRR14722119	SAMN19302599	35.1356 N 83.1911 W		FEN_249_Cladonia_grayi_Plate3_G6_R1.fastq.gz	
SRR14722120	SAMN19302598	35.1356 N 83.1911 W		FEN_248_Usnea_merrillii_Plate3_F6_R1.fastq.gz	
SRR14722121	SAMN19302597	35.1356 N 83.1911 W		FEN_247_Cladonia_macilenta_Plate3_E6_R1.fastq.gz	
SRR14722122	SAMN19302596	35.6261 N 83.5003 W		FEN_245_Ochrolechia_yasudae_Plate3_C6_R1.fastq.gz	
SRR14722123	SAMN19302595	35.6261 N 83.5003 W		FEN_244_Micarea_bauschiana_Plate3_B6_R1.fastq.gz	
SRR14722124	SAMN19302594	35.6261 N 83.5003 W		FEN_243_Melanelia_culbersonii_Plate3_A6_R1.fastq.gz	
SRR14722125	SAMN19302593	35.6261 N 83.5003 W		FEN_242_Ionaspis_alba_Plate3_H5_R1.fastq.gz	
SRR14722126	SAMN19302592	35.6261 N 83.5003 W		FEN_241_Biatora_chrysantha_Plate3_G5_R1.fastq.gz	
SRR14722127	SAMN19302591	35.1356 N 83.1911 W		FEN_240_Xanthoparmelia_mexicana_Plate3_F5_R1.fastq.gz	
SRR14722128	SAMN19302590	35.585 N 83.4747 W	Lendemer_46226_NY-2606722	FEN_239_Lecidella_sp_Plate3_E5_R1.fastq.gz	
SRR14722129	SAMN19302464	35.5631 N 83.4983 W		FEN_39_Pseudevernia_cladonia_Plate1_B5_R1.fastq.gz	
SRR14722130	SAMN19302589	35.4292 N 83.7547 W		FEN_238_Parmotrema_hypotropum_Plate3_D5_R1.fastq.gz	
SRR14722131	SAMN19302588	35.4292 N 83.7547 W		FEN_237_Parmotrema_gardneri_Plate2_A2_R1.fastq.gz	
SRR14722132	SAMN19302587	35.4069 N 83.7647 W		FEN_236_Anzia_colpodes_Plate2_B2_R1.fastq.gz	
SRR14722133	SAMN19302586	35.4069 N 83.7647 W		FEN_235_Heterodermia_hypoleuca_Plate2_C2_R1.fastq.gz	
SRR14722134	SAMN19302585	35.4069 N 83.7647 W		FEN_234_Absconditella_diluta_Plate3_B5_R1.fastq.gz	
SRR14722135	SAMN19302584	35.4069 N 83.7647 W		FEN_233_Mycocalicium_subtile_Plate2_D2_R1.fastq.gz	
SRR14722136	SAMN19302583	35.4072 N 83.5931 W		FEN_232_Pertusaria_ostiolata_Plate2_E2_R1.fastq.gz	
SRR14722137	SAMN19302582	35.4072 N 83.5931 W		FEN_231_Leptogium_hirsutum_Plate2_F2_R1.fastq.gz	
SRR14722138	SAMN19302581	35.4072 N 83.5931 W		FEN_230_Heterodermia_speciosa_Plate2_G2_R1.fastq.gz	
SRR14722139	SAMN19302580	35.4072 N 83.5931 W		FEN_229_Parmotrema_cetratum_Plate2_H2_R1.fastq.gz	
SRR14722140	SAMN19302463	35.5631 N 83.4983 W		FEN_38_Platismatia_tuckermanii_Plate1_A5_R1.fastq.gz	
SRR14722141	SAMN19302579	35.4072 N 83.5931 W		FEN_228_Phaeophyscia_squarrosa_Plate2_A3_R1.fastq.gz	
SRR14722142	SAMN19302578	35.4072 N 83.5931 W		FEN_227_Acrocordia_megalospora_Plate2_B3_R1.fastq.gz	
SRR14722143	SAMN19302577	35.4072 N 83.5931 W		FEN_226_Opegrapha_viridis_Plate2_C3_R1.fastq.gz	
SRR14722144	SAMN19302576	35.4072 N 83.5931 W		FEN_225_Heterodermia_appalachensis_Plate2_D3_R1.fastq.gz	
SRR14722145	SAMN19302575	35.4072 N 83.5931 W		FEN_224_Leptogium_chloromelum_Plate2_E3_R1.fastq.gz	
SRR14722146	SAMN19302574	35.4069 N 83.7647 W		FEN_223_Phaeocalicium_polyporaeum_Plate2_F3_R1.fastq.gz	
SRR14722147	SAMN19302573	35.3669 N 83.6289 W		FEN_222_Byssoloma_subdiscordans_Plate2_G3_R1.fastq.gz	
SRR14722148	SAMN19302572	35.4072 N 83.5931 W		FEN_221_Peltigera_neopolydactylon_Plate2_H3_R1.fastq.gz	
SRR14722149	SAMN19302571	35.4072 N 83.5931 W	Lendemer_46965_NY-2794668	FEN_220_Peltigera_sp_Plate2_A4_R1.fastq.gz	
SRR14722150	SAMN19302570	35.1356 N 83.1911 W		FEN_219_Cladonia__arbuscula_Plate2_B4_R1.fastq.gz	
SRR14722151	SAMN19302462	35.585 N 83.4747 W		FEN_33_Usnocetraria_oakesiana_Plate1_D4_R1.fastq.gz	
SRR14722152	SAMN19302569	35.4292 N 83.7547 W		FEN_218_Micarea_neostipitata_Plate2_C4_R1.fastq.gz	
SRR14722153	SAMN19302568	35.4292 N 83.7547 W		FEN_217_Sarea_resinae_Plate3_A5_R1.fastq.gz	
SRR14722154	SAMN19302567	35.4292 N 83.7547 W		FEN_216_Lecanora_strobilina_Plate2_D4_R1.fastq.gz	
SRR14722155	SAMN19302566	35.1356 N 83.1911 W		FEN_215_Umbilicaria_pensylvanica_Plate2_E4_R1.fastq.gz	
SRR14722156	SAMN19302565	35.1356 N 83.1911 W		FEN_214_Melanelia_stygia_Plate2_F4_R1.fastq.gz	
SRR14722157	SAMN19302564	35.1356 N 83.1911 W	Lendemer_46382_NY-2795264	FEN_213_Unknown_Plate2_G4_R1.fastq.gz	
SRR14722158	SAMN19302563	35.1356 N 83.1911 W		FEN_212_Lecanora_albella_var._rubescens_Plate2_H4_R1.fastq.gz	
SRR14722159	SAMN19302562	35.1356 N 83.1911 W		FEN_211_Ochrolechia_arborea_Plate2_A5_R1.fastq.gz	
SRR14722160	SAMN19302561	35.1356 N 83.1911 W		FEN_210_Herteliana_schuyleriana_Plate2_B5_R1.fastq.gz	
SRR14722161	SAMN19302560	35.4372 N 83.7481 W		FEN_209_Leptogium_austroamericanum_Plate2_C5_R1.fastq.gz	
SRR14722162	SAMN19302461	35.5631 N 83.4983 W		FEN_32_Hypogymnia_incurvoides_Plate1_C4_R1.fastq.gz	
SRR14722163	SAMN19302559	35.1356 N 83.1911 W		FEN_208_Tephromela_atra_Plate2_D5_R1.fastq.gz	
SRR14722164	SAMN19302558	35.1356 N 83.1911 W		FEN_207_Lecidea_tessellata_Plate2_E5_R1.fastq.gz	
SRR14722165	SAMN19302557	35.1356 N 83.1911 W		FEN_206_Rhizocarpon_subgeminatum_Plate2_F5_R1.fastq.gz	
SRR14722166	SAMN19302556	35.4372 N 83.7481 W		FEN_205_Parmotrema_xanthinum_Plate2_G5_R1.fastq.gz	
SRR14722167	SAMN19302555	35.1356 N 83.1911 W		FEN_204_Dimelaena_oreina_Plate2_H5_R1.fastq.gz	
SRR14722168	SAMN19302554	35.3272 N 83.9931 W		FEN_203_Parmotrema_stuppeum_Plate2_A6_R1.fastq.gz	
SRR14722169	SAMN19302553	35.3272 N 83.9931 W		FEN_202_Punctelia_appalachensis_Plate2_B6_R1.fastq.gz	
SRR14722170	SAMN19302552	35.1356 N 83.1911 W		FEN_201_Cladonia__rangiferina_Plate2_C6_R1.fastq.gz	
SRR14722171	SAMN19302551	35.1356 N 83.1911 W		FEN_200_Cladonia__uncialis_Plate2_D6_R1.fastq.gz	
SRR14722172	SAMN19302550	35.4372 N 83.7481 W		FEN_199_Chrysothrix_xanthina_Plate2_E6_R1.fastq.gz	
SRR14722173	SAMN19302460	35.5631 N 83.4983 W		FEN_31_Melanohalea_halei_Plate1_B4_R1.fastq.gz	
SRR14722174	SAMN19302451	35.4828 N 83.5597 W		FEN_3_Parmotrema_diffractaicum_Plate1_C1_R1.fastq.gz	
SRR14722175	SAMN19302450	35.4828 N 83.5597 W		FEN_2_Nephroma_helveticum_Plate1_B1_R1.fastq.gz	
SRR14722176	SAMN19302549	35.4372 N 83.7481 W		FEN_198_Caloplaca_feracissima_Plate3_H4_R1.fastq.gz	
SRR14722177	SAMN19302548	35.3094 N 84.0261 W		FEN_197_Biatora_appalachensis_Plate2_F6_R1.fastq.gz	
SRR14722178	SAMN19302547	35.4372 N 83.7481 W		FEN_196_Schismatomma_glaucescens_Plate3_G4_R1.fastq.gz	
SRR14722179	SAMN19302546	35.4372 N 83.7481 W		FEN_195_Porina_heterospora_Plate3_F4_R1.fastq.gz	
SRR14722180	SAMN19302545	35.4372 N 83.7481 W	Lendemer_46730_NY-2794914	FEN_194_Unknown_Plate2_G6_R1.fastq.gz	
SRR14722181	SAMN19302544	35.1081 N 83.18 W		FEN_193_Gomphillus_calycioides_Plate2_H6_R1.fastq.gz	
SRR14722182	SAMN19302543	35.4372 N 83.7481 W		FEN_192_Chaenotheca_balsamconensis_Plate3_E4_R1.fastq.gz	
SRR14722183	SAMN19302542	35.4372 N 83.7481 W		FEN_191_Chaenotheca_furfuracea_Plate3_D4_R1.fastq.gz	
SRR14722184	SAMN19302541	35.3094 N 84.0261 W		FEN_186_Lecanora_hybocarpa_Plate3_C4_R1.fastq.gz	
SRR14722185	SAMN19302540	35.47 N 83.5583 W	Lendemer_46123_NY-2606825	FEN_153_Mycobilimbia_sp_Plate3_B4_R1.fastq.gz	
SRR14722186	SAMN19302459	35.4675 N 83.5617 W		FEN_30_Lepra_pustulata_Plate3_A1_R1.fastq.gz	
SRR14722187	SAMN19302539	35.4828 N 83.5597 W		FEN_152_Lepraria_xanthonica_Plate3_A4_R1.fastq.gz	
SRR14722188	SAMN19302538	35.5631 N 83.4983 W		FEN_136_Xylographa_vitiligo_Plate3_H3_R1.fastq.gz	
SRR14722189	SAMN19302537	35.4675 N 83.5617 W		Plate1_A12_S6_L002_R1_001.fastq.gz	
SRR14722190	SAMN19302536	35.4675 N 83.5617 W		Plate1_B12_S12_L002_R1_001.fastq.gz	
SRR14722191	SAMN19302535	35.4675 N 83.5617 W		Plate1_C12_S18_L002_R1_001.fastq.gz	
SRR14722192	SAMN19302534	35.4675 N 83.5617 W		Plate1_D12_S24_L002_R1_001.fastq.gz	
SRR14722193	SAMN19302533	35.4675 N 83.5617 W		Plate1_E12_S30_L002_R1_001.fastq.gz	
SRR14722194	SAMN19302532	35.4675 N 83.5617 W		Plate1_F12_S36_L002_R1_001.fastq.gz	
SRR14722195	SAMN19302531	35.4675 N 83.5617 W		FEN_116_Bacidia_schweinitzii_Plate3_G3_R1.fastq.gz	
SRR14722196	SAMN19302530	35.4675 N 83.5617 W		Plate1_G12_S42_L002_R1_001.fastq.gz	
SRR14722197	SAMN19302458	35.4675 N 83.5617 W		FEN_29_Leptogium_corticola_Plate1_A4_R1.fastq.gz	
SRR14722198	SAMN19302529	35.4675 N 83.5617 W		Plate1_H12_S48_L002_R1_001.fastq.gz	
SRR14722199	SAMN19302528	35.585 N 83.4747 W		Plate1_H11_S47_L002_R1_001.fastq.gz	
SRR14722200	SAMN19302527	35.61 N 83.4467 W		FEN_112_Arthonia_vinosa_Plate3_F3_R1.fastq.gz	
SRR14722201	SAMN19302526	35.61 N 83.4467 W		FEN_111_Lecidea_nylanderi_Plate3_E3_R1.fastq.gz	
SRR14722202	SAMN19302525	35.61 N 83.4467 W		FEN_110_Hypocenomyce_scalaris_Plate3_D3_R1.fastq.gz	
SRR14722203	SAMN19302524	35.61 N 83.4467 W		Plate1_G11_S41_L002_R1_001.fastq.gz	
SRR14722204	SAMN19302523	35.61 N 83.4467 W		Plate1_F11_S35_L002_R1_001.fastq.gz	
SRR14722205	SAMN19302522	35.5631 N 83.4983 W		Plate1_E11_S29_L002_R1_001.fastq.gz	
SRR14722206	SAMN19302521	35.4675 N 83.5617 W		Plate1_D11_S23_L002_R1_001.fastq.gz	
SRR14722207	SAMN19302520	35.4675 N 83.5617 W		Plate1_C11_S17_L002_R1_001.fastq.gz	
SRR14722208	SAMN19302457	35.47 N 83.5583 W		FEN_24_Lobaria_quercizans_Plate1_D3_R1.fastq.gz	
SRR14722209	SAMN19302519	35.4828 N 83.5597 W		FEN_104_Rinodina_buckii_Plate3_C3_R1.fastq.gz	
SRR14722210	SAMN19302518	35.4828 N 83.5597 W		FEN_103_Caloplaca_camptidia_Plate3_B3_R1.fastq.gz	
SRR14722211	SAMN19302517	35.4828 N 83.5597 W		Plate1_B11_S11_L002_R1_001.fastq.gz	
SRR14722212	SAMN19302516	35.4828 N 83.5597 W		Plate1_A11_S5_L002_R1_001.fastq.gz	
SRR14722213	SAMN19302515	35.4828 N 83.5597 W		FEN_100_Pseudosagedia_isidiata_Plate3_A3_R1.fastq.gz	
SRR14722214	SAMN19302514	35.4828 N 83.5597 W		Plate1_D10_S22_L002_R1_001.fastq.gz	
SRR14722215	SAMN19302513	35.4828 N 83.5597 W		FEN_98_Buellia_vernicoma_Plate3_H2_R1.fastq.gz	
SRR14722216	SAMN19302512	35.4675 N 83.5617 W		Plate1_C10_S16_L002_R1_001.fastq.gz	
SRR14722217	SAMN19302511	35.4675 N 83.5617 W		Plate1_B10_S10_L002_R1_001.fastq.gz	
SRR14722218	SAMN19302510	35.4828 N 83.5597 W		Plate1_A10_S4_L002_R1_001.fastq.gz	
SRR14722219	SAMN19302456	35.4675 N 83.5617 W		FEN_21_Hypotrachyna_minarum_Plate2_G1_R1.fastq.gz	
SRR14722220	SAMN19302509	35.47 N 83.5583 W		FEN_94_Lecania_croatica_Plate3_G2_R1.fastq.gz	
SRR14722221	SAMN19302508	35.47 N 83.5583 W		FEN_93_Meglaospora_porphyritis_Plate2_A1_R1.fastq.gz	
SRR14722222	SAMN19302507	35.47 N 83.5583 W		FEN_92_Arthonia_quintaria_Plate3_F2_R1.fastq.gz	
SRR14722223	SAMN19302506	35.5631 N 83.4983 W		Plate1_H9_S45_L002_R1_001.fastq.gz	
SRR14722224	SAMN19302505	35.5631 N 83.4983 W		Plate1_G9_S39_L002_R1_001.fastq.gz	
SRR14722225	SAMN19302504	35.585 N 83.4747 W		FEN_89_Lopadium_disciforme_Plate3_E2_R1.fastq.gz	
SRR14722226	SAMN19302503	35.5631 N 83.4983 W		Plate1_F9_S33_L002_R1_001.fastq.gz	
SRR14722227	SAMN19302502	35.5631 N 83.4983 W		Plate1_E9_S27_L002_R1_001.fastq.gz	
SRR14722228	SAMN19302501	35.5631 N 83.4983 W		Plate1_D9_S21_L002_R1_001.fastq.gz	
SRR14722229	SAMN19302500	35.5631 N 83.4983 W		FEN_85_Lecidea_roseotincta_Plate3_D2_R1.fastq.gz	
SRR14722230	SAMN19302455	35.4675 N 83.5617 W		FEN_20_Coccocarpia_palmicola_Plate2_D1_R1.fastq.gz	
SRR14722231	SAMN19302499	35.5631 N 83.4983 W		FEN_84_Lecanora_masana_Plate3_C2_R1.fastq.gz	
SRR14722232	SAMN19302498	35.5631 N 83.4983 W		FEN_83_Lecanora_rugosella_Plate3_B2_R1.fastq.gz	
SRR14722233	SAMN19302497	35.61 N 83.4467 W		FEN_82_Arthonia_ruana_Plate3_A2_R1.fastq.gz	
SRR14722234	SAMN19302496	35.4828 N 83.5597 W		Plate1_C9_S15_L002_R1_001.fastq.gz	
SRR14722235	SAMN19302495	35.4828 N 83.5597 W		Plate1_B9_S9_L002_R1_001.fastq.gz	
SRR14722236	SAMN19302494	35.4828 N 83.5597 W		Plate1_A9_S3_L002_R1_001.fastq.gz	
SRR14722237	SAMN19302493	35.4828 N 83.5597 W		Plate1_H8_S44_L002_R1_001.fastq.gz	
SRR14722238	SAMN19302492	35.4828 N 83.5597 W		Plate1_G8_S38_L002_R1_001.fastq.gz	
SRR14722239	SAMN19302491	35.4828 N 83.5597 W		Plate1_F8_S32_L002_R1_001.fastq.gz	
SRR14722240	SAMN19302862	34.94088 N 86.0827 W		FEN_541_Vulpicida_viridis_Plate5_R1.fastq.gz	
SRR14722241	SAMN19302861	33.1947 N 86.0639 W		FEN_540_Canoparmelia_alabamensis_Plate5_R1.fastq.gz	
SRR14722242	SAMN19302860	34.3092 N 87.3947 W	Tripp_6765_NY-2690388	FEN_539_Pseudosagedia_sp_Plate5_R1.fastq.gz	
SRR14722243	SAMN19302859	34.3092 N 87.3947 W		FEN_538_Usnea_angulata_Plate5_R1.fastq.gz	
SRR14722244	SAMN19302858	34.3092 N 87.3947 W		FEN_537_Usnea_subscabrosa_Plate5_R1.fastq.gz	
SRR14722245	SAMN19302857	34.3092 N 87.3947 W		FEN_536_Lepraria_friabilis_Plate5_R1.fastq.gz	
SRR14722246	SAMN19302856	34.3092 N 87.3947 W		FEN_535_Pyrenula_santensis_Plate5_R1.fastq.gz	
SRR14722247	SAMN19302855	34.3092 N 87.3947 W		FEN_534_Fuscopannaria_leucosticta_Plate5_R1.fastq.gz	
SRR14722248	SAMN19302854	34.3092 N 87.3947 W		FEN_533_Usnea_trichodea_Plate5_R1.fastq.gz	
SRR14722249	SAMN19302853	34.3092 N 87.3947 W		FEN_532_Anthracothecium_nanum_Plate5_R1.fastq.gz	
SRR14722250	SAMN19302490	35.4828 N 83.5597 W		Plate1_E8_S26_L002_R1_001.fastq.gz	
SRR14722251	SAMN19302454	35.4828 N 83.5597 W		FEN_18_Trapelia_coarctata_Plate2_F1_R1.fastq.gz	
SRR14722252	SAMN19302852	34.3092 N 87.3947 W		FEN_531_Pseudocyphellaria_aurata_Plate5_R1.fastq.gz	
SRR14722253	SAMN19302851	34.3408 N 87.4422 W		FEN_530_Xylopsora_friesii_Plate5_R1.fastq.gz	
SRR14722254	SAMN19302850	34.3408 N 87.4422 W		FEN_529_Ramboldia_blochiana_Plate5_R1.fastq.gz	
SRR14722255	SAMN19302849	34.3408 N 87.4422 W		FEN_528_Pertusaria_epixantha_Plate5_R1.fastq.gz	
SRR14722256	SAMN19302848	34.3408 N 87.4422 W		FEN_527_Heterodermia_crocea_Plate5_R1.fastq.gz	
SRR14722257	SAMN19302847	34.3408 N 87.4422 W		FEN_526_Acrocordia_megalospora_Plate5_R1.fastq.gz	
SRR14722258	SAMN19302846	34.3311 N 87.4506 W		FEN_525_Lobaria_ravenelii_Plate5_R1.fastq.gz	
SRR14722259	SAMN19302845	34.3386 N 87.4433 W		FEN_524_Anzia_ornata_Plate5_R1.fastq.gz	
SRR14722260	SAMN19302844	34.3311 N 87.4506 W	Lendemer_50063_NY-	FEN_523_Arthonia_norstictica_Plate5_R1.fastq.gz	
SRR14722261	SAMN19302843	34.3311 N 87.4506 W	Lendemer_50057_NY-3034691	FEN_522_Trentepohlia_Plate5_R1.fastq.gz	
SRR14722262	SAMN19302489	35.4828 N 83.5597 W		Plate1_D8_S20_L002_R1_001.fastq.gz	
SRR14722263	SAMN19302842	34.3311 N 87.4506 W		FEN_521_Dictyocatenulata_alba_Plate5_R1.fastq.gz	
SRR14722264	SAMN19302841	34.3311 N 87.4506 W		FEN_520_Leucodecton_subcompunctum_Plate5_R1.fastq.gz	
SRR14722265	SAMN19302840	34.3311 N 87.4506 W		FEN_519_Thelotrema_subtile_Plate5_R1.fastq.gz	
SRR14722266	SAMN19302839	34.3311 N 87.4506 W		FEN_518_Heterodermia_obscurata_Plate5_R1.fastq.gz	
SRR14722267	SAMN19302838	34.323162 N 87.46287 W		FEN_517_Sticta_deyana_Plate5_R1.fastq.gz	
SRR14722268	SAMN19302837	34.3311 N 87.4506 W		FEN_516_Parmotrema_rampoddense_Plate5_R1.fastq.gz	
SRR14722269	SAMN19302836	34.33878 N 87.44333 W		FEN_515_Cladonia_didyma_Plate5_R1.fastq.gz	
SRR14722270	SAMN19302835	34.431644 N 86.193344 W		FEN_514_Chrysothrix_xanthina_Plate5_R1.fastq.gz	
SRR14722271	SAMN19302834	34.3247 N 87.4506 W		FEN_513_Rockerfellera_crossophylla_Plate5_R1.fastq.gz	
SRR14722272	SAMN19302833	34.308 N 87.50314 W		FEN_512_Lepraria_finkii_Plate6_R1.fastq.gz	
SRR14722273	SAMN19302488	35.4828 N 83.5597 W		Plate1_C8_S14_L002_R1_001.fastq.gz	
SRR14722274	SAMN19302832	34.308 N 87.50314 W		FEN_511_Lepraria_sp_Plate6_R1.fastq.gz	
SRR14722275	SAMN19302831	34.308 N 87.50314 W		FEN_510_Micareopsis_irriguata_Plate6_R1.fastq.gz	
SRR14722276	SAMN19302830	34.308 N 87.50314 W		FEN_509_Cystocoleus_ebeneus_Plate6_R1.fastq.gz	
SRR14722277	SAMN19302829	34.308 N 87.50314 W		FEN_508_Cladonia_furcata_Plate6_R1.fastq.gz	
SRR14722278	SAMN19302828	34.308 N 87.50314 W		FEN_507_Buellia_spuria_Plate6_R1.fastq.gz	
SRR14722279	SAMN19302827	34.308 N 87.50314 W		FEN_506_Byssoloma_meadii_Plate6_R1.fastq.gz	
