genome	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	size	BUSCO_lineage	BAT_euk	median_cov	mag	bat_bacteria	role	metagenome
public_SRR14721942_metabat2_bin.2.fa	151_0	0.05	average	ANImf	151	32030579	ascomycota_odb10	Letharia	24	public_SRR14721942_metabat2_bin.2	NA	mycobiont	SRR14721942
public_SRR14722128_metabat2_bin.9.fa	152_0	0.05	average	ANImf	152	30069223	ascomycota_odb10	Letharia	16	public_SRR14722128_metabat2_bin.9	NA	mycobiont	SRR14722128
private_T1889_concoct_bin.16.fa	153_1	0.05	average	ANImf	153	40608534	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	9	private_T1889_concoct_bin.16	NA	photobiont_chloro	T1889
public_SRR14722135_metabat2_bin.5.fa	153_2	0.05	average	ANImf	153	38402819	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	6	public_SRR14722135_metabat2_bin.5	NA	photobiont_chloro	SRR14722135
public_SRR14722152_metabat2_bin.2.fa	153_3	0.05	average	ANImf	153	28683311	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	4	public_SRR14722152_metabat2_bin.2	NA	photobiont_chloro	SRR14722152
public_SRR14722067_metabat2_bin.1.fa	154_1	0.05	average	ANImf	154	NA	NA	NA	NA	NA	NA	photobiont_chloro	SRR14722067
public_SRR14722188_concoct_bin.30.fa	154_1	0.05	average	ANImf	154	45054228	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	10	public_SRR14722188_concoct_bin.30	NA	photobiont_chloro	SRR14722188
private_T1867_metabat2_bin.4.fa	155_1	0.05	average	ANImf	155	NA	NA	NA	NA	NA	NA	photobiont_chloro	T1867
private_T1894_concoct_bin.66.fa	155_1	0.05	average	ANImf	155	44449598	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	23	private_T1894_concoct_bin.66	NA	photobiont_chloro	T1894
public_SRR14722042_metabat2_bin.4.fa	155_2	0.05	average	ANImf	155	23631243	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	4	public_SRR14722042_metabat2_bin.4	NA	photobiont_chloro	SRR14722042
public_SRR11456919_concoct_bin.22.fa	156_1	0.05	average	ANImf	156	48121382	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	55	public_SRR11456919_concoct_bin.22	NA	photobiont_chloro	SRR11456919
public_SRR13685159_concoct_merged.0.fa	156_2	0.05	average	ANImf	156	45368639	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	6	public_SRR13685159_concoct_merged.0	NA	photobiont_chloro	SRR13685159
public_SRR11456915_concoct_bin.5.fa	157_0	0.05	average	ANImf	157	47368747	chlorophyta_odb10	Coccomyxa subellipsoidea C-169	13	public_SRR11456915_concoct_bin.5	NA	photobiont_chloro	SRR11456915
public_ERR4179390_concoct_bin.45.fa	158_0	0.05	average	ANImf	158	51114057	chlorophyta_odb10	Trebouxiophyceae	19	public_ERR4179390_concoct_bin.45	NA	photobiont_chloro	ERR4179390
public_SRR14722177_metabat2_bin.9.fa	159_0	0.05	average	ANImf	159	36559424	chlorophyta_odb10	Trebouxiophyceae	4	public_SRR14722177_metabat2_bin.9	NA	photobiont_chloro	SRR14722177
public_SRR14721929_concoct_bin.20.fa	160_0	0.05	average	ANImf	160	12174069	eurotiomycetes_odb10	Herpotrichiellaceae	6	public_SRR14721929_concoct_bin.20	NA	fungi_other	SRR14721929
public_SRR14722116_metabat2_bin.5.fa	161_1	0.05	average	ANImf	161	48859335	chlorophyta_odb10	Trebouxia sp. A1-2	5	public_SRR14722116_metabat2_bin.5	NA	photobiont_chloro	SRR14722116
public_SRR14722120_metabat2_bin.4.fa	161_2	0.05	average	ANImf	161	41796735	chlorophyta_odb10	Trebouxia sp. A1-2	4	public_SRR14722120_metabat2_bin.4	NA	photobiont_chloro	SRR14722120
private_T1882_metabat2_merged.0.fa	162_1	0.05	average	ANImf	162	62479348	chlorophyta_odb10	Trebouxia sp. A1-2	10	private_T1882_metabat2_merged.0	NA	photobiont_chloro	T1882
private_X11_concoct_bin.15.fa	162_2	0.05	average	ANImf	162	59630297	chlorophyta_odb10	Trebouxia sp. A1-2	8	private_X11_concoct_bin.15	NA	photobiont_chloro	X11
private_T1912_concoct_bin.0.fa	163_0	0.05	average	ANImf	163	55932432	chlorophyta_odb10	Trebouxia sp. A1-2	8	private_T1912_concoct_bin.0	NA	photobiont_chloro	T1912
private_X10_concoct_bin.7.fa	164_0	0.05	average	ANImf	164	61204277	chlorophyta_odb10	Trebouxia sp. A1-2	12	private_X10_concoct_bin.7	NA	photobiont_chloro	X10
public_SRR7232212_concoct_bin.0.fa	165_1	0.05	average	ANImf	165	55496273	chlorophyta_odb10	Trebouxia sp. A1-2	7	public_SRR7232212_concoct_bin.0	NA	photobiont_chloro	SRR7232212
public_SRR7232213_concoct_bin.0.fa	165_2	0.05	average	ANImf	165	55330623	chlorophyta_odb10	Trebouxia sp. A1-2	7	public_SRR7232213_concoct_bin.0	NA	photobiont_chloro	SRR7232213
public_SRR7232214_concoct_bin.9.fa	165_3	0.05	average	ANImf	165	55709528	chlorophyta_odb10	Trebouxia sp. A1-2	8	public_SRR7232214_concoct_bin.9	NA	photobiont_chloro	SRR7232214
public_ERR4179390_concoct_bin.75.fa	166_0	0.05	average	ANImf	166	39633693	chlorophyta_odb10	Trebouxiophyceae	14	public_ERR4179390_concoct_bin.75	NA	photobiont_chloro	ERR4179390
private_T1881_metabat2_bin.1.fa	167_1	0.05	average	ANImf	167	NA	NA	NA	NA	NA	NA	photobiont_chloro	T1881
private_TS1974_concoct_bin.29.fa	167_1	0.05	average	ANImf	167	57915726	chlorophyta_odb10	Trebouxia sp. A1-2	26	private_TS1974_concoct_bin.29	NA	photobiont_chloro	TS1974
private_GTX0161_concoct_bin.0.fa	167_2	0.05	average	ANImf	167	57477754	chlorophyta_odb10	Trebouxia sp. A1-2	58	private_GTX0161_concoct_bin.0	NA	photobiont_chloro	GTX0161
private_X1_metabat2_bin.11.fa	168_1	0.05	average	ANImf	168	59375272	chlorophyta_odb10	Trebouxia sp. A1-2	7	private_X1_metabat2_bin.11	NA	photobiont_chloro	X1
private_X7_metabat2_bin.4.fa	168_1	0.05	average	ANImf	168	NA	NA	NA	NA	NA	NA	photobiont_chloro	X7
private_T1889_concoct_merged.0.fa	168_2	0.05	average	ANImf	168	NA	NA	NA	NA	NA	NA	photobiont_chloro	T1889
private_T1904_concoct_bin.38.fa	168_2	0.05	average	ANImf	168	60571648	chlorophyta_odb10	Trebouxia sp. A1-2	41	private_T1904_concoct_bin.38	NA	photobiont_chloro	T1904
private_T1914_concoct_bin.18.fa	168_2	0.05	average	ANImf	168	NA	NA	NA	NA	NA	NA	photobiont_chloro	T1914
private_VT38_concoct_bin.4.fa	168_2	0.05	average	ANImf	168	NA	NA	NA	NA	NA	NA	photobiont_chloro	VT38
public_SRR13125762_concoct_merged.0.fa	168_2	0.05	average	ANImf	168	NA	NA	NA	NA	NA	NA	photobiont_chloro	SRR13125762
public_SRR5808932_metabat2_bin.2.fa	168_3	0.05	average	ANImf	168	53955646	chlorophyta_odb10	Trebouxia sp. A1-2	7	public_SRR5808932_metabat2_bin.2	NA	photobiont_chloro	SRR5808932
public_SRR7232211_concoct_bin.8.fa	168_4	0.05	average	ANImf	168	58668785	chlorophyta_odb10	Trebouxia sp. A1-2	8	public_SRR7232211_concoct_bin.8	NA	photobiont_chloro	SRR7232211
public_SRR2387885_metabat2_bin.2.fa	168_5	0.05	average	ANImf	168	52878094	chlorophyta_odb10	Trebouxia sp. A1-2	6	public_SRR2387885_metabat2_bin.2	NA	photobiont_chloro	SRR2387885
private_X2_concoct_bin.1.fa	169_1	0.05	average	ANImf	169	67285532	chlorophyta_odb10	Trebouxia sp. A1-2	16	private_X2_concoct_bin.1	NA	photobiont_chloro	X2
public_SRR13125477_metabat2_bin.13.fa	169_2	0.05	average	ANImf	169	60258601	chlorophyta_odb10	Trebouxia sp. A1-2	6	public_SRR13125477_metabat2_bin.13	NA	photobiont_chloro	SRR13125477
private_GTX0163_concoct_bin.46.fa	170_0	0.05	average	ANImf	170	58699984	chlorophyta_odb10	Trebouxia sp. A1-2	11	private_GTX0163_concoct_bin.46	NA	photobiont_chloro	GTX0163
public_SRR1532736_concoct_bin.20.fa	171_0	0.05	average	ANImf	171	35234345	chlorophyta_odb10	Trebouxia sp. A1-2	6	public_SRR1532736_concoct_bin.20	NA	photobiont_chloro	SRR1532736
public_SRR14722143_metabat2_bin.4.fa	172_0	0.05	average	ANImf	172	21986266	ascomycota_odb10	leotiomyceta	12	public_SRR14722143_metabat2_bin.4	NA	mycobiont	SRR14722143
public_SRR7232212_concoct_bin.12.fa	173_0	0.05	average	ANImf	173	16983982	basidiomycota_odb10	Pucciniomycotina	7	public_SRR7232212_concoct_bin.12	NA	cypho	SRR7232212
private_GTX0158_metawrap_bin.1.fa	NA	NA	NA	NA	NA	6829525	NA	NA	8	private_GTX0158_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.2.fa	NA	NA	NA	NA	NA	4595129	NA	NA	21	private_GTX0158_metawrap_bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.3.fa	NA	NA	NA	NA	NA	2414791	NA	NA	10	private_GTX0158_metawrap_bin.3	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.4.fa	NA	NA	NA	NA	NA	3367567	NA	NA	13	private_GTX0158_metawrap_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.5.fa	NA	NA	NA	NA	NA	2864271	NA	NA	169	private_GTX0158_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.6.fa	NA	NA	NA	NA	NA	4535280	NA	NA	196	private_GTX0158_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.7.fa	NA	NA	NA	NA	NA	3618424	NA	NA	8	private_GTX0158_metawrap_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	bacteria_other	GTX0158
private_GTX0158_metawrap_bin.8.fa	NA	NA	NA	NA	NA	3869393	NA	NA	5	private_GTX0158_metawrap_bin.8	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__	bacteria_other	GTX0158
private_GTX0161_metawrap_bin.1.fa	NA	NA	NA	NA	NA	3507978	NA	NA	55	private_GTX0161_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__	bacteria_other	GTX0161
private_GTX0163_metawrap_bin.10.fa	NA	NA	NA	NA	NA	2544535	NA	NA	16	private_GTX0163_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.11.fa	NA	NA	NA	NA	NA	4768684	NA	NA	9	private_GTX0163_metawrap_bin.11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.12.fa	NA	NA	NA	NA	NA	4365355	NA	NA	15	private_GTX0163_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.14.fa	NA	NA	NA	NA	NA	3577379	NA	NA	7	private_GTX0163_metawrap_bin.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.15.fa	NA	NA	NA	NA	NA	4875913	NA	NA	11	private_GTX0163_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.17.fa	NA	NA	NA	NA	NA	2996994	NA	NA	10	private_GTX0163_metawrap_bin.17	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.18.fa	NA	NA	NA	NA	NA	3642260	NA	NA	27	private_GTX0163_metawrap_bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.19.fa	NA	NA	NA	NA	NA	5045447	NA	NA	5	private_GTX0163_metawrap_bin.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.1.fa	NA	NA	NA	NA	NA	5061927	NA	NA	9	private_GTX0163_metawrap_bin.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.3.fa	NA	NA	NA	NA	NA	5759634	NA	NA	7	private_GTX0163_metawrap_bin.3	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.4.fa	NA	NA	NA	NA	NA	2390973	NA	NA	5	private_GTX0163_metawrap_bin.4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.5.fa	NA	NA	NA	NA	NA	4607906	NA	NA	11	private_GTX0163_metawrap_bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.6.fa	NA	NA	NA	NA	NA	3971280	NA	NA	7	private_GTX0163_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.7.fa	NA	NA	NA	NA	NA	6454521	NA	NA	6	private_GTX0163_metawrap_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.8.fa	NA	NA	NA	NA	NA	5244982	NA	NA	12	private_GTX0163_metawrap_bin.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	bacteria_other	GTX0163
private_GTX0163_metawrap_bin.9.fa	NA	NA	NA	NA	NA	4806579	NA	NA	33	private_GTX0163_metawrap_bin.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	bacteria_other	GTX0163
private_T1867_metawrap_bin.1.fa	NA	NA	NA	NA	NA	2983634	NA	NA	7	private_T1867_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__	bacteria_other	T1867
private_T1867_metawrap_bin.2.fa	NA	NA	NA	NA	NA	5743301	NA	NA	10	private_T1867_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	bacteria_other	T1867
private_T1868_metawrap_bin.1.fa	NA	NA	NA	NA	NA	3803709	NA	NA	10	private_T1868_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Bryocella;s__	bacteria_other	T1868
private_T1868_metawrap_bin.4.fa	NA	NA	NA	NA	NA	5238499	NA	NA	9	private_T1868_metawrap_bin.4	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__	bacteria_other	T1868
private_T1868_metawrap_bin.5.fa	NA	NA	NA	NA	NA	3849194	NA	NA	9	private_T1868_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__	bacteria_other	T1868
private_T1887_metawrap_bin.10.fa	NA	NA	NA	NA	NA	4745649	NA	NA	8	private_T1887_metawrap_bin.10	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__SCTD01;s__	bacteria_other	T1887
private_T1887_metawrap_bin.11.fa	NA	NA	NA	NA	NA	5029938	NA	NA	13	private_T1887_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__	bacteria_other	T1887
private_T1887_metawrap_bin.12.fa	NA	NA	NA	NA	NA	3695381	NA	NA	12	private_T1887_metawrap_bin.12	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Angustibacteraceae;g__JACMOY01;s__	bacteria_other	T1887
private_T1887_metawrap_bin.13.fa	NA	NA	NA	NA	NA	2879782	NA	NA	7	private_T1887_metawrap_bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__	bacteria_other	T1887
private_T1887_metawrap_bin.15.fa	NA	NA	NA	NA	NA	6529217	NA	NA	24	private_T1887_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	bacteria_other	T1887
private_T1887_metawrap_bin.17.fa	NA	NA	NA	NA	NA	4614662	NA	NA	44	private_T1887_metawrap_bin.17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	bacteria_other	T1887
private_T1887_metawrap_bin.18.fa	NA	NA	NA	NA	NA	2214153	NA	NA	8	private_T1887_metawrap_bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	bacteria_other	T1887
private_T1887_metawrap_bin.1.fa	NA	NA	NA	NA	NA	3474204	NA	NA	79	private_T1887_metawrap_bin.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Quadrisphaeraceae;g__Quadrisphaera;s__	bacteria_other	T1887
private_T1887_metawrap_bin.3.fa	NA	NA	NA	NA	NA	3405581	NA	NA	13	private_T1887_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	bacteria_other	T1887
private_T1887_metawrap_bin.4.fa	NA	NA	NA	NA	NA	3538176	NA	NA	17	private_T1887_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	bacteria_other	T1887
private_T1887_metawrap_bin.5.fa	NA	NA	NA	NA	NA	6108703	NA	NA	9	private_T1887_metawrap_bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	bacteria_other	T1887
private_T1887_metawrap_bin.6.fa	NA	NA	NA	NA	NA	3270667	NA	NA	29	private_T1887_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__CADCVW01;s__	bacteria_other	T1887
private_T1887_metawrap_bin.7.fa	NA	NA	NA	NA	NA	3210277	NA	NA	16	private_T1887_metawrap_bin.7	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__;g__;s__	bacteria_other	T1887
private_T1887_metawrap_bin.8.fa	NA	NA	NA	NA	NA	3584002	NA	NA	88	private_T1887_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__	bacteria_other	T1887
private_T1887_metawrap_bin.9.fa	NA	NA	NA	NA	NA	3132679	NA	NA	60	private_T1887_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;s__	bacteria_other	T1887
private_T1888_metawrap_bin.10.fa	NA	NA	NA	NA	NA	4296970	NA	NA	21	private_T1888_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	bacteria_other	T1888
private_T1888_metawrap_bin.12.fa	NA	NA	NA	NA	NA	3089910	NA	NA	46	private_T1888_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	bacteria_other	T1888
private_T1888_metawrap_bin.13.fa	NA	NA	NA	NA	NA	4716372	NA	NA	6	private_T1888_metawrap_bin.13	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	bacteria_other	T1888
private_T1888_metawrap_bin.14.fa	NA	NA	NA	NA	NA	4719478	NA	NA	21	private_T1888_metawrap_bin.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__	bacteria_other	T1888
private_T1888_metawrap_bin.15.fa	NA	NA	NA	NA	NA	3567018	NA	NA	8	private_T1888_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	bacteria_other	T1888
private_T1888_metawrap_bin.18.fa	NA	NA	NA	NA	NA	3265663	NA	NA	39	private_T1888_metawrap_bin.18	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__	bacteria_other	T1888
private_T1888_metawrap_bin.19.fa	NA	NA	NA	NA	NA	3526920	NA	NA	25	private_T1888_metawrap_bin.19	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__	bacteria_other	T1888
private_T1888_metawrap_bin.2.fa	NA	NA	NA	NA	NA	2729904	NA	NA	7	private_T1888_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	bacteria_other	T1888
private_T1888_metawrap_bin.3.fa	NA	NA	NA	NA	NA	6292898	NA	NA	64	private_T1888_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	bacteria_other	T1888
private_T1888_metawrap_bin.4.fa	NA	NA	NA	NA	NA	4698652	NA	NA	28	private_T1888_metawrap_bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__	bacteria_other	T1888
private_T1888_metawrap_bin.5.fa	NA	NA	NA	NA	NA	4431711	NA	NA	7	private_T1888_metawrap_bin.5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__	bacteria_other	T1888
private_T1888_metawrap_bin.6.fa	NA	NA	NA	NA	NA	3999252	NA	NA	63	private_T1888_metawrap_bin.6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__	bacteria_other	T1888
private_T1888_metawrap_bin.7.fa	NA	NA	NA	NA	NA	3020983	NA	NA	10	private_T1888_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__	bacteria_other	T1888
private_T1888_metawrap_bin.8.fa	NA	NA	NA	NA	NA	2998512	NA	NA	37	private_T1888_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__PMMR1;s__	bacteria_other	T1888
private_T1888_metawrap_bin.9.fa	NA	NA	NA	NA	NA	3223619	NA	NA	43	private_T1888_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__	bacteria_other	T1888
private_T1889_metawrap_bin.1.fa	NA	NA	NA	NA	NA	3920059	NA	NA	21	private_T1889_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__	bacteria_other	T1889
private_T1889_metawrap_bin.2.fa	NA	NA	NA	NA	NA	4468366	NA	NA	202	private_T1889_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__	bacteria_other	T1889
private_T1889_metawrap_bin.4.fa	NA	NA	NA	NA	NA	5362941	NA	NA	11	private_T1889_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	bacteria_other	T1889
private_T1889_metawrap_bin.5.fa	NA	NA	NA	NA	NA	5677811	NA	NA	12	private_T1889_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	bacteria_other	T1889
private_T1889_metawrap_bin.7.fa	NA	NA	NA	NA	NA	3319295	NA	NA	8	private_T1889_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	bacteria_other	T1889
private_T1889_metawrap_bin.8.fa	NA	NA	NA	NA	NA	6513267	NA	NA	6	private_T1889_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	bacteria_other	T1889
private_T1894_metawrap_bin.10.fa	NA	NA	NA	NA	NA	4461858	NA	NA	34	private_T1894_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__	bacteria_other	T1894
private_T1894_metawrap_bin.11.fa	NA	NA	NA	NA	NA	4173490	NA	NA	56	private_T1894_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__	bacteria_other	T1894
