fasta	size	BUSCO_lineage	lineage	BAT_euk	median_cov	mag	bat_bacteria
public_SRR11456914_metawrap_bin.18.fa	6599299	NA	NA	NA	32	public_SRR11456914_metawrap_bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__;s__
public_SRR11456914_metawrap_bin.19.fa	3797731	NA	NA	NA	8	public_SRR11456914_metawrap_bin.19	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__CADCWK01;s__
public_SRR11456914_metawrap_bin.1.fa	3019888	NA	NA	NA	5	public_SRR11456914_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__
public_SRR11456914_metawrap_bin.20.fa	5351169	NA	NA	NA	14	public_SRR11456914_metawrap_bin.20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ilyomonas;s__
public_SRR11456914_metawrap_bin.21.fa	4304510	NA	NA	NA	9	public_SRR11456914_metawrap_bin.21	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
public_SRR11456914_metawrap_bin.22.fa	4221727	NA	NA	NA	5	public_SRR11456914_metawrap_bin.22	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__
public_SRR11456914_metawrap_bin.23.fa	2670987	NA	NA	NA	5	public_SRR11456914_metawrap_bin.23	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Angustibacteraceae;g__JACMOY01;s__
public_SRR11456914_metawrap_bin.24.fa	4453400	NA	NA	NA	17	public_SRR11456914_metawrap_bin.24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
public_SRR11456914_metawrap_bin.2.fa	4686693	NA	NA	NA	14	public_SRR11456914_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
public_SRR11456914_metawrap_bin.3.fa	5499777	NA	NA	NA	6	public_SRR11456914_metawrap_bin.3	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus;s__
public_SRR11456914_metawrap_bin.4.fa	3533321	NA	NA	NA	5	public_SRR11456914_metawrap_bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__
public_SRR11456914_metawrap_bin.5.fa	4204513	NA	NA	NA	8	public_SRR11456914_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
public_SRR11456914_metawrap_bin.7.fa	4004525	NA	NA	NA	9	public_SRR11456914_metawrap_bin.7	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__
public_SRR11456914_metawrap_bin.8.fa	4281283	NA	NA	NA	14	public_SRR11456914_metawrap_bin.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__
public_SRR11456914_metawrap_bin.9.fa	3218285	NA	NA	NA	64	public_SRR11456914_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__
public_SRR11456915_metawrap_bin.10.fa	4012591	NA	NA	NA	7	public_SRR11456915_metawrap_bin.10	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__
public_SRR11456915_metawrap_bin.1.fa	3042184	NA	NA	NA	5	public_SRR11456915_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__
public_SRR11456915_metawrap_bin.3.fa	8733206	NA	NA	NA	69	public_SRR11456915_metawrap_bin.3	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc punctiforme_A
public_SRR11456915_metawrap_bin.4.fa	3032277	NA	NA	NA	11	public_SRR11456915_metawrap_bin.4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CAJCIY01;g__CAJCIY01;s__
public_SRR11456915_metawrap_bin.5.fa	2803628	NA	NA	NA	11	public_SRR11456915_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__
public_SRR11456915_metawrap_bin.6.fa	3215214	NA	NA	NA	17	public_SRR11456915_metawrap_bin.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Amnibacterium;s__
public_SRR11456915_metawrap_bin.8.fa	4601963	NA	NA	NA	46	public_SRR11456915_metawrap_bin.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__;s__
public_SRR11456915_metawrap_bin.9.fa	4154047	NA	NA	NA	7	public_SRR11456915_metawrap_bin.9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
public_SRR11456917_metawrap_bin.1.fa	4041276	NA	NA	NA	5	public_SRR11456917_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__
public_SRR11456917_metawrap_bin.2.fa	2409621	NA	NA	NA	8	public_SRR11456917_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
public_SRR11456918_metawrap_bin.1.fa	6011162	NA	NA	NA	6	public_SRR11456918_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__
public_SRR11456918_metawrap_bin.2.fa	3632934	NA	NA	NA	8	public_SRR11456918_metawrap_bin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Amnibacterium;s__
public_SRR11456918_metawrap_bin.3.fa	7637561	NA	NA	NA	137	public_SRR11456918_metawrap_bin.3	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR11456918_metawrap_bin.4.fa	2492531	NA	NA	NA	18	public_SRR11456918_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR11456918_metawrap_bin.5.fa	3052962	NA	NA	NA	9	public_SRR11456918_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
public_SRR11456918_metawrap_bin.7.fa	3085741	NA	NA	NA	20	public_SRR11456918_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR11456918_metawrap_bin.8.fa	4352006	NA	NA	NA	21	public_SRR11456918_metawrap_bin.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__
public_SRR11456919_metawrap_bin.10.fa	2718594	NA	NA	NA	8	public_SRR11456919_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
public_SRR11456919_metawrap_bin.11.fa	4305696	NA	NA	NA	15	public_SRR11456919_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR11456919_metawrap_bin.12.fa	2692002	NA	NA	NA	7	public_SRR11456919_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__CAHJWT01;s__
public_SRR11456919_metawrap_bin.13.fa	5694266	NA	NA	NA	11	public_SRR11456919_metawrap_bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR11456919_metawrap_bin.14.fa	3227154	NA	NA	NA	6	public_SRR11456919_metawrap_bin.14	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
public_SRR11456919_metawrap_bin.15.fa	2214623	NA	NA	NA	5	public_SRR11456919_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAIOYC01;s__
public_SRR11456919_metawrap_bin.1.fa	2822033	NA	NA	NA	9	public_SRR11456919_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR11456919_metawrap_bin.2.fa	5000176	NA	NA	NA	20	public_SRR11456919_metawrap_bin.2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
public_SRR11456919_metawrap_bin.3.fa	3876638	NA	NA	NA	12	public_SRR11456919_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR11456919_metawrap_bin.4.fa	3888541	NA	NA	NA	6	public_SRR11456919_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAHJXF01;s__
public_SRR11456919_metawrap_bin.5.fa	7668730	NA	NA	NA	39	public_SRR11456919_metawrap_bin.5	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR11456919_metawrap_bin.6.fa	3608571	NA	NA	NA	7	public_SRR11456919_metawrap_bin.6	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Nyctobacter;s__
public_SRR11456919_metawrap_bin.7.fa	2011403	NA	NA	NA	5	public_SRR11456919_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
public_SRR11456921_metawrap_bin.10.fa	4789540	NA	NA	NA	13	public_SRR11456921_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR11456921_metawrap_bin.11.fa	5362047	NA	NA	NA	17	public_SRR11456921_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__
public_SRR11456921_metawrap_bin.12.fa	6629438	NA	NA	NA	25	public_SRR11456921_metawrap_bin.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__;s__
public_SRR11456921_metawrap_bin.13.fa	2759869	NA	NA	NA	8	public_SRR11456921_metawrap_bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
public_SRR11456921_metawrap_bin.14.fa	6825203	NA	NA	NA	17	public_SRR11456921_metawrap_bin.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Fibrella;s__
public_SRR11456921_metawrap_bin.15.fa	4348868	NA	NA	NA	6	public_SRR11456921_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodovarius;s__
public_SRR11456921_metawrap_bin.16.fa	3240044	NA	NA	NA	10	public_SRR11456921_metawrap_bin.16	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Hydrocarboniphaga;s__
public_SRR11456921_metawrap_bin.17.fa	5474166	NA	NA	NA	6	public_SRR11456921_metawrap_bin.17	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA1315;s__
public_SRR11456921_metawrap_bin.18.fa	3889296	NA	NA	NA	30	public_SRR11456921_metawrap_bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_D;s__
public_SRR11456921_metawrap_bin.19.fa	4460902	NA	NA	NA	33	public_SRR11456921_metawrap_bin.19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Tardiphaga;s__
public_SRR11456921_metawrap_bin.1.fa	2318548	NA	NA	NA	7	public_SRR11456921_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Nevskia;s__
public_SRR11456921_metawrap_bin.20.fa	3314321	NA	NA	NA	21	public_SRR11456921_metawrap_bin.20	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__
public_SRR11456921_metawrap_bin.21.fa	4191314	NA	NA	NA	7	public_SRR11456921_metawrap_bin.21	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__
public_SRR11456921_metawrap_bin.23.fa	3520896	NA	NA	NA	14	public_SRR11456921_metawrap_bin.23	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__
public_SRR11456921_metawrap_bin.24.fa	2878028	NA	NA	NA	8	public_SRR11456921_metawrap_bin.24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__LB1R16;s__
public_SRR11456921_metawrap_bin.25.fa	2568384	NA	NA	NA	12	public_SRR11456921_metawrap_bin.25	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR11456921_metawrap_bin.2.fa	3187911	NA	NA	NA	10	public_SRR11456921_metawrap_bin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lysinimonas_A;s__
public_SRR11456921_metawrap_bin.3.fa	8236644	NA	NA	NA	252	public_SRR11456921_metawrap_bin.3	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR11456921_metawrap_bin.4.fa	3878253	NA	NA	NA	5	public_SRR11456921_metawrap_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__
public_SRR11456921_metawrap_bin.5.fa	6147036	NA	NA	NA	8	public_SRR11456921_metawrap_bin.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
public_SRR11456921_metawrap_bin.6.fa	3075687	NA	NA	NA	24	public_SRR11456921_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
public_SRR11456921_metawrap_bin.7.fa	6428399	NA	NA	NA	36	public_SRR11456921_metawrap_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__
public_SRR11456921_metawrap_bin.8.fa	5316724	NA	NA	NA	9	public_SRR11456921_metawrap_bin.8	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__GCA-002050365;s__
public_SRR11456921_metawrap_bin.9.fa	3660534	NA	NA	NA	16	public_SRR11456921_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__
public_SRR11456922_metawrap_bin.1.fa	4800591	NA	NA	NA	27	public_SRR11456922_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
public_SRR11456922_metawrap_bin.2.fa	3459045	NA	NA	NA	24	public_SRR11456922_metawrap_bin.2	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__JAAFHZ01;s__
public_SRR11456922_metawrap_bin.3.fa	3366298	NA	NA	NA	14	public_SRR11456922_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456922_metawrap_bin.4.fa	3849515	NA	NA	NA	13	public_SRR11456922_metawrap_bin.4	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__JAAFHZ01;s__
public_SRR11456922_metawrap_bin.5.fa	3436633	NA	NA	NA	7	public_SRR11456922_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__
public_SRR11456922_metawrap_bin.6.fa	3538234	NA	NA	NA	39	public_SRR11456922_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456922_metawrap_bin.7.fa	3400665	NA	NA	NA	9	public_SRR11456922_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456922_metawrap_bin.8.fa	3059827	NA	NA	NA	18	public_SRR11456922_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456923_metawrap_bin.1.fa	2301102	NA	NA	NA	5	public_SRR11456923_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__
public_SRR11456923_metawrap_bin.2.fa	5091702	NA	NA	NA	8	public_SRR11456923_metawrap_bin.2	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__JAAFIG01;g__;s__
public_SRR11456923_metawrap_bin.3.fa	2562352	NA	NA	NA	12	public_SRR11456923_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456923_metawrap_bin.5.fa	5124934	NA	NA	NA	8	public_SRR11456923_metawrap_bin.5	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__JAAFIG01;g__;s__
public_SRR11456923_metawrap_bin.6.fa	2462318	NA	NA	NA	27	public_SRR11456923_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__
public_SRR11456923_metawrap_bin.7.fa	7859985	NA	NA	NA	215	public_SRR11456923_metawrap_bin.7	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR12240174_metawrap_bin.1.fa	3167584	NA	NA	NA	7	public_SRR12240174_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
public_SRR12240174_metawrap_bin.2.fa	5125473	NA	NA	NA	5	public_SRR12240174_metawrap_bin.2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__
public_SRR12240174_metawrap_bin.3.fa	3139418	NA	NA	NA	10	public_SRR12240174_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR12240177_metawrap_bin.1.fa	2642145	NA	NA	NA	4	public_SRR12240177_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__
public_SRR12240179_metawrap_bin.1.fa	3859098	NA	NA	NA	6	public_SRR12240179_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__
public_SRR12240179_metawrap_bin.2.fa	4622923	NA	NA	NA	9	public_SRR12240179_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR12240179_metawrap_bin.3.fa	3549671	NA	NA	NA	8	public_SRR12240179_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR12240180_metawrap_bin.1.fa	3877513	NA	NA	NA	8	public_SRR12240180_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__
public_SRR12240181_metawrap_bin.1.fa	2580695	NA	NA	NA	15	public_SRR12240181_metawrap_bin.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__SCTD01;s__
public_SRR12240181_metawrap_bin.3.fa	3406090	NA	NA	NA	8	public_SRR12240181_metawrap_bin.3	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__JACCYI01;s__
public_SRR12240182_metawrap_bin.1.fa	6209615	NA	NA	NA	14	public_SRR12240182_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR12240182_metawrap_bin.2.fa	3111945	NA	NA	NA	7	public_SRR12240182_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_G;s__
public_SRR12240182_metawrap_bin.4.fa	3363377	NA	NA	NA	9	public_SRR12240182_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_G;s__
public_SRR12240183_metawrap_bin.1.fa	3280544	NA	NA	NA	6	public_SRR12240183_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR12240183_metawrap_bin.3.fa	5689450	NA	NA	NA	5	public_SRR12240183_metawrap_bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
public_SRR12240184_metawrap_bin.1.fa	3549499	NA	NA	NA	4	public_SRR12240184_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__
public_SRR12240184_metawrap_bin.2.fa	3414239	NA	NA	NA	6	public_SRR12240184_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
public_SRR12240184_metawrap_bin.3.fa	2936192	NA	NA	NA	9	public_SRR12240184_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR12240184_metawrap_bin.4.fa	1439739	NA	NA	NA	7	public_SRR12240184_metawrap_bin.4	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__
public_SRR12240184_metawrap_bin.5.fa	2729563	NA	NA	NA	9	public_SRR12240184_metawrap_bin.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Marisediminicola;s__
public_SRR12240188_metawrap_bin.2.fa	2731190	NA	NA	NA	5	public_SRR12240188_metawrap_bin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__;s__
public_SRR13125477_metawrap_bin.1.fa	2959294	NA	NA	NA	10	public_SRR13125477_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__
public_SRR13125477_metawrap_bin.2.fa	2817113	NA	NA	NA	18	public_SRR13125477_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
public_SRR13125477_metawrap_bin.3.fa	3808200	NA	NA	NA	7	public_SRR13125477_metawrap_bin.3	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
public_SRR13125477_metawrap_bin.4.fa	3410505	NA	NA	NA	6	public_SRR13125477_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__
public_SRR13125477_metawrap_bin.5.fa	4520306	NA	NA	NA	26	public_SRR13125477_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
public_SRR13126796_metawrap_bin.1.fa	3758706	NA	NA	NA	7	public_SRR13126796_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
public_SRR13126859_metawrap_bin.1.fa	3953990	NA	NA	NA	20	public_SRR13126859_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
public_SRR13126859_metawrap_bin.2.fa	5061531	NA	NA	NA	13	public_SRR13126859_metawrap_bin.2	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
public_SRR13685165_metawrap_bin.1.fa	4513375	NA	NA	NA	12	public_SRR13685165_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
public_SRR14721929_metawrap_bin.1.fa	4537829	NA	NA	NA	12	public_SRR14721929_metawrap_bin.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
public_SRR14721929_metawrap_bin.2.fa	3696623	NA	NA	NA	7	public_SRR14721929_metawrap_bin.2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
