# bin	classification	reason	lineage	lineage scores
public_SRR13125985_concoct_bin.8.fa	taxid assigned	based on 13344/25270 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.88;0.88;0.86;0.86;0.86;0.85;0.85
public_SRR13126647_concoct_merged.0.fa	taxid assigned	based on 14809/27878 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.86;0.86;0.85;0.85;0.85;0.83;0.83
public_SRR13126796_metabat2_bin.1.fa	taxid assigned	based on 15703/30282 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.98;0.87;0.87;0.85;0.85;0.85;0.84;0.84
public_SRR13126828_metabat2_bin.1.fa	taxid assigned	based on 16349/31740 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.86;0.86;0.85;0.85;0.85;0.83;0.83
public_SRR13126859_metabat2_bin.7.fa	taxid assigned	based on 15272/30376 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.88;0.88;0.87;0.87;0.87;0.86;0.86
public_SRR13167197_metabat2_bin.1.fa	taxid assigned	based on 15432/30415 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.87;0.87;0.86;0.86;0.86;0.85;0.84
public_SRR13685140_metabat2_bin.1.fa	taxid assigned	based on 10249/21675 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.59;0.59;0.56;0.55;0.55;0.55;0.53
public_SRR13685154_metabat2_bin.1.fa	taxid assigned	based on 11258/22947 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.89;0.89;0.84;0.83;0.83;0.82;0.79
public_SRR13685157_metabat2_bin.1.fa	taxid assigned	based on 9402/18840 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.63;0.63;0.49;0.49;0.49;0.46;0.46
public_SRR13685158_concoct_merged.0.fa	taxid assigned	based on 13906/31104 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.99;0.95;0.95;0.92;0.91;0.91;0.90;0.88
public_SRR13685159_concoct_merged.0.fa	taxid assigned	based on 32539/65371 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.99;0.98;0.97;0.97;0.95;0.92;0.92;0.92;0.91;0.91
public_SRR13685161_metabat2_bin.1.fa	taxid assigned	based on 14788/31806 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.52;0.52
public_SRR13685162_metabat2_bin.2.fa	taxid assigned	based on 16039/31572 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.87;0.87;0.85;0.85;0.85;0.85;0.84
public_SRR13685164_concoct_bin.7.fa	taxid assigned	based on 15681/30479 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.86;0.86;0.85;0.85;0.85;0.84;0.83
public_SRR13685165_metabat2_bin.3.fa	taxid assigned	based on 16522/31991 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.83;0.83;0.83;0.82;0.82
public_SRR14721922_metabat2_bin.4.fa	taxid assigned	based on 14321/30777 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.52;0.52
public_SRR14721923_metabat2_bin.2.fa	taxid assigned	based on 13160/28695 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.88;0.87;0.87;0.87;0.84
public_SRR14721925_concoct_bin.8.fa	taxid assigned	based on 14282/31546 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.52;0.52
public_SRR14721926_metabat2_bin.3.fa	taxid assigned	based on 14200/32014 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.54;0.54
public_SRR14721927_metabat2_bin.2.fa	taxid assigned	based on 16753/33529 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.82;0.82;0.82;0.81;0.81
public_SRR14721929_concoct_bin.20.fa	taxid assigned	based on 7034/11862 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;34395;43219	1.00;1.00;0.97;0.94;0.94;0.93;0.93;0.93;0.93;0.92;0.76;0.71;0.51;0.35
public_SRR14721929_metabat2_bin.13.fa	taxid assigned	based on 14327/31272 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.96;0.95;0.94;0.94;0.94;0.93;0.54;0.54
public_SRR14721931_concoct_merged.0.fa	taxid assigned	based on 13482/30081 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.96;0.96;0.94;0.93;0.93;0.93;0.91;0.52;0.52
public_SRR14721932_concoct_bin.34.fa	taxid assigned	based on 13061/27780 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.89;0.87;0.87;0.87;0.85
public_SRR14721933_metabat2_bin.1.fa	taxid assigned	based on 14925/28542 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541;159987;714581;271822;1929940;1048519	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.97;0.97;0.88;0.88;0.81;0.79;0.79;0.79;0.79
public_SRR14721935_metabat2_bin.5.fa	taxid assigned	based on 15589/31191 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.84;0.84;0.83;0.83;0.83;0.82;0.82
public_SRR14721936_concoct_merged.0.fa	taxid assigned	based on 12536/24204 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.76;0.76;0.68;0.68;0.68;0.60;0.60
public_SRR14721937_metabat2_bin.4.fa	taxid assigned	based on 12080/23944 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;146291;146292;364710;364733	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.89;0.87;0.84;0.84;0.84;0.84
public_SRR14721939_concoct_merged.0.fa	taxid assigned	based on 13362/26049 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.76;0.76;0.68;0.68;0.68;0.60;0.60
public_SRR14721941_concoct_bin.5.fa	taxid assigned	based on 12485/27425 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.96;0.96;0.95;0.94;0.60;0.60
public_SRR14721942_metabat2_bin.2.fa	taxid assigned	based on 15273/32599 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.98;0.84;0.84;0.82;0.82;0.82;0.81;0.81
public_SRR14721943_metabat2_bin.1.fa	taxid assigned	based on 16172/32295 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.84;0.84;0.83;0.83;0.83;0.82;0.81
public_SRR14721944_concoct_merged.0.fa	taxid assigned	based on 10991/23008 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.95;0.75;0.75;0.66;0.66;0.66;0.63;0.63
public_SRR14721945_metabat2_bin.3.fa	taxid assigned	based on 11948/26976 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.92;0.48;0.48
public_SRR14721946_metabat2_bin.2.fa	taxid assigned	based on 11074/23512 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.91;0.91;0.88;0.87;0.86;0.86;0.84
public_SRR14721947_metabat2_bin.6.fa	taxid assigned	based on 15939/31723 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.86;0.86;0.85;0.85;0.85;0.84;0.84
public_SRR14721948_concoct_merged.0.fa	taxid assigned	based on 14024/31544 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.94;0.58;0.58
public_SRR14721949_concoct_bin.4.fa	taxid assigned	based on 12421/27587 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.93;0.93;0.92;0.55;0.55
public_SRR14721950_metabat2_bin.6.fa	taxid assigned	based on 10237/21120 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.89;0.89;0.86;0.84;0.84;0.84;0.81
public_SRR14721952_concoct_merged.0.fa	taxid assigned	based on 15077/29789 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.74;0.74;0.67;0.67;0.67;0.59;0.59
public_SRR14721953_concoct_bin.46.fa	taxid assigned	based on 9203/17071 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.58;0.58
public_SRR14721954_metabat2_bin.3.fa	taxid assigned	based on 10099/21970 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.95;0.95;0.94;0.93;0.51;0.51
public_SRR14721956_metabat2_bin.3.fa	taxid assigned	based on 16684/32180 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.81;0.81;0.81;0.80;0.80
public_SRR14721957_metabat2_bin.1.fa	taxid assigned	based on 7372/14134 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.97;0.89;0.88;0.84;0.83;0.83;0.83;0.78
public_SRR14721959_metabat2_bin.2.fa	taxid assigned	based on 10586/20133 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.91;0.47;0.47
public_SRR14721960_metabat2_bin.2.fa	taxid assigned	based on 11049/23752 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.97;0.97;0.95;0.95;0.95;0.95;0.93;0.66;0.66;0.52;0.52;0.52;0.49;0.49
public_SRR14721961_concoct_bin.1.fa	taxid assigned	based on 8162/14343 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;146291;146292;364710;364733	1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.98;0.89;0.87;0.85;0.85;0.85;0.85
public_SRR14721962_metabat2_bin.6.fa	taxid assigned	based on 10276/22363 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.97;0.97;0.95;0.95;0.95;0.95;0.94;0.64;0.64;0.51;0.51;0.51;0.47;0.47
public_SRR14721964_metabat2_bin.3.fa	taxid assigned	based on 11799/24730 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.95;0.95;0.94;0.93;0.64;0.64;0.51;0.51;0.51;0.48;0.48
public_SRR14721965_metabat2_bin.1.fa	taxid assigned	based on 14451/29257 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.75;0.75;0.68;0.68;0.68;0.60;0.60
public_SRR14721966_metabat2_bin.6.fa	taxid assigned	based on 10734/25577 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.57;0.57;0.54;0.53;0.53;0.53;0.52
public_SRR14721968_concoct_bin.6.fa	taxid assigned	based on 10415/19961 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;146291;146292;364710;364733	1.00;1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.88;0.86;0.82;0.82;0.82;0.82
public_SRR14721970_metabat2_bin.1.fa	taxid assigned	based on 13752/30028 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.89;0.87;0.87;0.87;0.85
public_SRR14721971_concoct_merged.0.fa	taxid assigned	based on 10909/23472 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.90;0.90;0.86;0.84;0.84;0.84;0.81
public_SRR14721973_metabat2_bin.2.fa	taxid assigned	based on 15592/34843 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.89;0.87;0.87;0.87;0.85
public_SRR14721974_metabat2_bin.1.fa	taxid assigned	based on 13917/26706 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.89;0.89;0.88;0.88;0.88;0.87;0.87
public_SRR14721977_metabat2_bin.1.fa	taxid assigned	based on 8563/18893 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.88;0.88;0.84;0.82;0.82;0.82;0.79
public_SRR14721978_concoct_merged.0.fa	taxid assigned	based on 11451/23496 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.60;0.60;0.57;0.56;0.56;0.56;0.54
public_SRR14721979_metabat2_bin.1.fa	taxid assigned	based on 17737/35519 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.81;0.81;0.79;0.79;0.79;0.78;0.78
public_SRR14721980_metabat2_bin.4.fa	taxid assigned	based on 12248/24862 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;0.99;0.96;0.96;0.95;0.95;0.95;0.94;0.93;0.55;0.55;0.31;0.31;0.31;0.31;0.31
public_SRR14721982_metabat2_bin.3.fa	taxid assigned	based on 10290/21868 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.99;0.56;0.56;0.53;0.52;0.52;0.51;0.50
public_SRR14721983_metabat2_bin.1.fa	taxid assigned	based on 11301/26479 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.99;0.93;0.93;0.91;0.89;0.89;0.89;0.87
public_SRR14721984_concoct_merged.0.fa	taxid assigned	based on 14219/33950 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.95;0.95;0.93;0.91;0.91;0.91;0.89;0.30;0.30
public_SRR14721985_metabat2_bin.4.fa	taxid assigned	based on 15698/31646 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.89;0.89;0.88;0.88;0.88;0.88;0.87
public_SRR14721986_metabat2_bin.4.fa	taxid assigned	based on 13406/27997 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.54;0.54
public_SRR14721987_metabat2_bin.1.fa	taxid assigned	based on 12659/26922 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.96;0.95;0.75;0.75;0.67;0.67;0.67;0.65;0.65
public_SRR14721990_metabat2_bin.6.fa	taxid assigned	based on 13379/27778 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.54;0.54
public_SRR14721991_concoct_merged.0.fa	taxid assigned	based on 15075/32944 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.91;0.50;0.50
public_SRR14721992_concoct_merged.0.fa	taxid assigned	based on 16103/30747 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.97;0.82;0.82;0.80;0.80;0.80;0.78;0.78
public_SRR14721993_concoct_bin.5.fa	taxid assigned	based on 13033/26809 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.76;0.76;0.69;0.69;0.69;0.66;0.66
public_SRR14721995_metabat2_bin.4.fa	taxid assigned	based on 14791/30886 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.93;0.93;0.91;0.44;0.44
public_SRR14721996_metabat2_bin.8.fa	taxid assigned	based on 18242/36163 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.87;0.87;0.86;0.86;0.86;0.85;0.85
public_SRR14721997_metabat2_bin.1.fa	taxid assigned	based on 16925/33176 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.81;0.81;0.81;0.80;0.80
public_SRR14721999_concoct_bin.2.fa	taxid assigned	based on 11869/23309 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.53;0.53;0.30;0.30;0.30;0.30;0.30
public_SRR14722000_concoct_merged.0.fa	taxid assigned	based on 16490/32149 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.81;0.81;0.81;0.80;0.80
public_SRR14722002_metabat2_bin.2.fa	taxid assigned	based on 15069/30128 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.87;0.87;0.85;0.85;0.85;0.84;0.84
public_SRR14722003_metabat2_bin.1.fa	taxid assigned	based on 10749/24501 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.97;0.97;0.95;0.95;0.95;0.95;0.94;0.66;0.66;0.52;0.52;0.52;0.48;0.48
public_SRR14722004_metabat2_bin.1.fa	taxid assigned	based on 17304/34543 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.84;0.84;0.84;0.83;0.82
public_SRR14722005_metabat2_bin.1.fa	taxid assigned	based on 14294/30068 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.52;0.52
public_SRR14722006_metabat2_bin.2.fa	taxid assigned	based on 17211/34699 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.85;0.85;0.83;0.83;0.83;0.82;0.82
public_SRR14722007_metabat2_bin.10.fa	taxid assigned	based on 16147/32700 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.98;0.88;0.88;0.86;0.86;0.86;0.86;0.85
public_SRR14722009_concoct_bin.5.fa	taxid assigned	based on 13219/26180 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.76;0.76;0.69;0.69;0.69;0.61;0.61
public_SRR14722010_metabat2_bin.2.fa	taxid assigned	based on 12823/30718 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.95;0.95;0.92;0.91;0.91;0.91;0.89;0.31;0.31
public_SRR14722012_metabat2_bin.2.fa	taxid assigned	based on 13072/28566 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.99;0.93;0.93;0.90;0.88;0.88;0.88;0.86
public_SRR14722013_metabat2_bin.2.fa	taxid assigned	based on 12466/26557 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.94;0.67;0.67;0.54;0.54;0.54;0.52;0.52
public_SRR14722014_metabat2_bin.1.fa	taxid assigned	based on 14453/29264 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.87;0.87;0.86;0.86;0.86;0.85;0.85
public_SRR14722015_metabat2_bin.2.fa	taxid assigned	based on 9352/19200 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.94;0.94;0.92;0.47;0.47
public_SRR14722016_metabat2_bin.3.fa	taxid assigned	based on 11954/22418 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.89;0.89;0.87;0.87;0.87;0.87;0.87
public_SRR14722017_metabat2_bin.2.fa	taxid assigned	based on 14628/31749 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.52;0.52
public_SRR14722018_metabat2_bin.2.fa	taxid assigned	based on 9918/20086 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.78;0.78;0.70;0.70;0.70;0.66;0.66
public_SRR14722019_concoct_merged.0.fa	taxid assigned	based on 13705/33117 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.94;0.93;0.55;0.55
public_SRR14722020_concoct_merged.0.fa	taxid assigned	based on 15246/28784 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.97;0.82;0.82;0.80;0.80;0.80;0.79;0.79
public_SRR14722021_metabat2_bin.1.fa	taxid assigned	based on 16137/31767 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.82;0.82;0.82;0.80;0.80
public_SRR14722022_concoct_bin.14.fa	taxid assigned	based on 16119/32093 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.87;0.87;0.85;0.85;0.85;0.84;0.84
public_SRR14722023_metabat2_bin.5.fa	taxid assigned	based on 17184/34250 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.83;0.83;0.83;0.83;0.82
public_SRR14722024_concoct_bin.3.fa	taxid assigned	based on 11246/24861 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.58;0.58
public_SRR14722026_metabat2_bin.4.fa	taxid assigned	based on 17524/35376 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.87;0.87;0.86;0.85;0.85;0.85;0.84
